2016-12-23 13:02:55 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=50&CP_Tire_Rim=22&CP_Tire_Width=37X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:05:48 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=16&CP_Tire_Rim=15C&CP_Tire_Width=37X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:06:19 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=16&CP_Tire_Rim=15C&CP_Tire_Width=37X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:07:04 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=60&CP_Tire_Rim=20&CP_Tire_Width=275.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:07:35 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=60&CP_Tire_Rim=20&CP_Tire_Width=275.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:13:13 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=45&CP_Tire_Rim=24&CP_Tire_Width=275.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:24:55 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=11.5&CP_Tire_Rim=11&CP_Tire_Width=235.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:30:16 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=20&CP_Tire_Width=235.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:30:49 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=21&CP_Tire_Width=235.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:31:22 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=23&CP_Tire_Width=235.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:41:04 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=9.5&CP_Tire_Rim=17&CP_Tire_Width=175.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
